platform,platform_account_id,display_name,account_type,homepage_url,followed_at,interaction_level,note
bilibili,946974,老师好我叫何同学,personal,https://space.bilibili.com/946974,2023-03-12,high,数码
bilibili,11254354,罗翔说刑法,official,https://space.bilibili.com/517327498,2022-06-01,medium,
bilibili,1577804,影视飓风,official,https://space.bilibili.com/946974,2023-11-20,high,器材测评常看
bilibili,546195,老番茄,personal,https://space.bilibili.com/546195,2021-02-15,none,
bilibili,2202259166,某沉睡UP主,personal,https://space.bilibili.com/2202259166,2021-05-08,none,关注后没看过
xiaohongshu,5ff2e1a4000000000101d3a9,小红薯美食日记,personal,https://www.xiaohongshu.com/user/profile/5ff2e1a4000000000101d3a9,2024-01-10,high,做饭参考
xiaohongshu,60ab12c4000000000102f4b1,家居改造小王,personal,https://www.xiaohongshu.com/user/profile/60ab12c4000000000102f4b1,2022-09-03,low,
xiaohongshu,618c9d80000000001007b2e6,穿搭记录,personal,https://www.xiaohongshu.com/user/profile/618c9d80000000001007b2e6,2021-12-25,none,待取关
wechat,gh_3f8a1c2d4b56,人民日报,subscription_account,https://mp.weixin.qq.com,2020-01-05,medium,
wechat,gh_7e9b3f1a8c02,某个深夜种草号,subscription_account,,2022-04-18,none,广告号清理
wechat,wxid_traveldiary,旅行手记,subscription_account,,2023-07-22,low,
wechat,gh_channels_001,某视频号搬运,video_account,,2021-08-30,none,
weibo,1642634100,央视新闻,official,https://weibo.com/cctvxinwen,2019-11-02,medium,
weibo,1195242765,一个不再更新的博主,personal,https://weibo.com/1195242765,2020-03-17,none,
zhihu,01f2e3c4,知乎日报,official,https://www.zhihu.com/org/zhi-hu-ri-bao,2022-12-01,low,
douyin,MS4wLjABAAAA0001,短视频搬运号,personal,,2021-06-11,none,疑似营销号
